c_idx,category_name
0,Restaurants
1,Food
2,Bubble Tea
3,Coffee & Tea
4,Bakeries
5,Sushi Bars
6,Japanese
7,Korean
8,Cocktail Bars
9,Bars
10,Italian
11,Nightlife
12,Pizza
13,Salad
14,Soup
15,Eatertainment
16,Arts & Entertainment
17,Brewpubs
18,American (Traditional)
19,Breweries
20,Grocery
21,Automotive
22,Delis
23,Gas Stations
24,Sandwiches
25,Convenience Stores
26,Keys & Locksmiths
27,Home Services
28,Local Services
29,Eyewear & Opticians
30,Shopping
31,Barbers
32,Beauty & Spas
33,Chinese
34,Real Estate
35,Real Estate Agents
36,Buses
37,Transportation
38,Bus Tours
39,Hotels & Travel
40,Travel Agents
41,Travel Services
42,Airport Shuttles
43,Tours
44,Public Transportation
45,Fashion
46,Men's Clothing
47,Seafood
48,Hair Stylists
49,Hair Extensions
50,Hair Salons
51,Burgers
52,Fast Food
53,Carpet Cleaning
54,Rugs
55,Flooring
56,Home Cleaning
57,Carpeting
58,Home & Garden
59,Breakfast & Brunch
60,Vegan
61,Bagels
62,Jewelry
63,Local Flavor
64,Team Building Activities
65,Active Life
66,Event Planning & Services
67,Walking Tours
68,Scavenger Hunts
69,Museums
70,Shanghainese
71,Szechuan
72,Sports Bars
73,Lounges
74,Asian Fusion
75,Thai
76,Karaoke
77,Drugstores
78,Pharmacy
79,Health & Medical
80,Fitness & Instruction
81,Trainers
82,Gyms
83,Cupcakes
84,Caribbean
85,Trinidadian
86,Cafes
87,Tex-Mex
88,Orthodontists
89,Oral Surgeons
90,General Dentistry
91,Dentists
92,Cosmetic Dentists
93,Bike Rentals
94,Bikes
95,Sporting Goods
96,Food Tours
97,Hotels
98,Venues & Event Spaces
99,Chicken Wings
100,Donuts
101,Arts & Crafts
102,Sports Wear
103,Costumes
104,Performing Arts
105,Adult
106,Shoe Repair
107,Sewing & Alterations
108,Women's Clothing
109,Children's Clothing
110,Accessories
111,Radiologists
112,Doctors
113,Ethnic Food
114,Specialty Food
115,Cajun/Creole
116,Southern
117,Auto Repair
118,Community Service/Non-Profit
119,Family Practice
120,Medical Centers
121,Counseling & Mental Health
122,American (New)
123,Wholesale Stores
124,Brewing Supplies
125,Beer
126,Wine & Spirits
127,Wineries
128,Escape Games
129,Pubs
130,Professional Services
131,Cosmetics & Beauty Supply
132,Desserts
133,Chocolatiers & Shops
134,Carpenters
135,Pressure Washers
136,Wallpapering
137,Painters
138,Whiskey Bars
139,Plumbing
140,Electronics Repair
141,IT Services & Computer Repair
142,Mobile Phone Repair
143,Mobile Phone Accessories
144,Mobile Phones
145,Building Supplies
146,Home Decor
147,Kitchen & Bath
148,Hospitals
149,Optometrists
150,French
151,Indian
152,Caterers
153,Chicken Shop
154,Nail Salons
155,Challenge Courses
156,Preschools
157,Recreation Centers
158,Education
159,Community Centers
160,Day Camps
161,Public Services & Government
162,Child Care & Day Care
163,Summer Camps
164,Apartments
165,Irish
166,Car Dealers
167,Auto Parts & Supplies
168,Car Rental
169,Wine Bars
170,Watches
171,Antiques
172,Appliances
173,Massage
174,Medical Spas
175,Diners
176,Vegetarian
177,Flowers & Gifts
178,Florists
179,Gift Shops
180,Shoe Stores
181,Irish Pub
182,Gastropubs
183,Steakhouses
184,Furniture Stores
185,Laundromat
186,Laundry Services
187,Veterinarians
188,Pets
189,Dog Walkers
190,Pet Services
191,Reiki
192,Pet Sitting
193,Waxing
194,Hair Removal
195,Makeup Artists
196,Banks & Credit Unions
197,Financial Services
198,Eyelash Service
199,Used
200,Vintage & Consignment
201,Gastroenterologist
202,Chiropractors
203,Nutritionists
204,Ramen
205,Wigs
206,Skin Care
207,Souvenir Shops
208,Men's Hair Salons
209,Spiritual Shop
210,Supernatural Readings
211,Life Coach
212,Religious Items
213,Beer Gardens
214,Beer Bar
215,Truck Rental
216,Malaysian
217,Burmese
218,Juice Bars & Smoothies
219,Movers
220,Boot Camps
221,Weight Loss Centers
222,Martial Arts
223,Massage Therapy
224,Food Delivery Services
225,Halal
226,Buffets
227,Pakistani
228,Cheesesteaks
229,Real Estate Services
230,Computers
231,Specialty Schools
232,Marketing
233,Telecommunications
234,Graphic Design
235,Web Design
236,Home Network Installation
237,Security Systems
238,Legal Services
239,Blow Dry/Out Services
240,Ice Cream & Frozen Yogurt
241,Piercing
242,Tattoo
243,Body Shops
244,Personal Shopping
245,Meat Shops
246,Property Management
247,Decks & Railing
248,Junk Removal & Hauling
249,Contractors
250,Windows Installation
251,Handyman
252,TV Mounting
253,Drywall Installation & Repair
254,Demolition Services
255,Books
256,Mags
257,Music & Video
258,Videos & Video Game Rental
259,Cinema
260,Art Galleries
261,Pet Groomers
262,Professional Sports Teams
263,Food Trucks
264,Sardinian
265,Gelato
266,Home Inspectors
267,Mexican
268,Soul Food
269,Yoga
270,Greek
271,Food Court
272,Shopping Centers
273,Latin American
274,Bike Repair/Maintenance
275,Pediatric Dentists
276,Endodontists
277,Periodontists
278,Video Game Stores
279,Electronics
280,Do-It-Yourself Food
281,Comfort Food
282,Used Car Dealers
283,Wedding Planning
284,Sports Clubs
285,Archery
286,Interior Design
287,Fishing
288,Guns & Ammo
289,Outdoor Gear
290,Seafood Markets
291,Vietnamese
292,Urgent Care
293,Dry Cleaning & Laundry
294,Pet Stores
295,IV Hydration
296,Tires
297,Pet Training
298,Barbeque
299,Self Storage
300,Couriers & Delivery Services
301,Thrift Stores
302,Roofing
303,Dive Bars
304,Mediterranean
305,Day Spas
306,Laotian
307,Pickleball
308,Swimming Pools
309,Pilates
310,Tapas Bars
311,Parking
312,Pediatricians
313,Naturopathic/Holistic
314,Coffee Roasteries
315,Diagnostic Services
316,Laboratory Testing
317,Amateur Sports Teams
318,Social Clubs
319,Noodles
320,Matchmakers
321,Nurseries & Gardening
322,Art Restoration
323,Jewelry Repair
324,Watch Repair
325,Bridal
326,Mortgage Brokers
327,Orthopedists
328,Sports Medicine
329,Physical Therapy
330,Rehabilitation Center
331,Acupuncture
332,Spray Tanning
333,Tanning
334,Teeth Whitening
335,Emergency Pet Hospital
336,Furniture Repair
337,Furniture Assembly
338,Wraps
339,Creperies
340,Internet Cafes
341,Cuban
342,Investing
343,Taiwanese
344,Spanish
345,Formal Wear
346,Pet Adoption
347,Gun/Rifle Ranges
348,Sleep Specialists
349,Jazz & Blues
350,Music Venues
351,Auto Detailing
352,Health Markets
353,Limos
354,Oil Change Stations
355,Moroccan
356,Internet Service Providers
357,Television Service Providers
358,Festivals
359,Landmarks & Historical Buildings
360,Fruits & Veggies
361,Cards & Stationery
362,Office Equipment
363,Personal Assistants
364,Home Organization
365,Party & Event Planning
366,Printing Services
367,Screen Printing/T-Shirt Printing
368,Customized Merchandise
369,Signmaking
370,Trophy Shops
371,Badminton
372,Employment Agencies
373,Skating Rinks
374,Distilleries
375,Dance Clubs
376,Filipino
377,Puerto Rican
378,Nail Technicians
379,Musical Instruments & Teachers
380,Tacos
381,Fabric Stores
382,Television Stations
383,Mass Media
384,Perfume
385,Candle Stores
386,Airport Terminals
387,Airports
388,Shipping Centers
389,Post Offices
390,Falafel
391,Art Supplies
392,Pan Asian
393,Home Theatre Installation
394,Gay Bars
395,Print Media
396,Commercial Real Estate
397,Photography Stores & Services
398,Bookstores
399,Ethiopian
400,Office Cleaning
401,Eyebrow Services
402,Gutter Services
403,Siding
404,Cantonese
405,Comedy Clubs
406,Adult Entertainment
407,Strip Clubs
408,Cardio Classes
409,Cooking Schools
410,Hardware Stores
411,Door Sales/Installation
412,Car Wash
413,Water Heater Installation/Repair
414,Damage Restoration
415,Hookah Bars
416,Cheese Shops
417,Auto Insurance
418,Insurance
419,Lawyers
420,Registration Services
421,Notaries
422,Heating & Air Conditioning/HVAC
423,Air Duct Cleaning
424,Party Supplies
425,Internal Medicine
426,Gold Buyers
427,Pawn Shops
428,Street Vendors
429,Middle Eastern
430,Food Stands
431,DJs
432,Pet Photography
433,Towing
434,Arcades
435,Indoor Playcentre
436,Kids Activities
437,Toy Stores
438,Pest Control
439,Art Classes
440,Art Schools
441,Laser Hair Removal
442,International Grocery
443,Imported Food
444,Interval Training Gyms
445,Kebab
446,Tree Services
447,Landscaping
448,Polish
449,Glass & Mirrors
450,Window Washing
451,Traditional Chinese Medicine
452,Vitamins & Supplements
453,Landscape Architects
454,Music & DVDs
455,Vinyl Records
456,Gardeners
457,Hainan
458,New Mexican Cuisine
459,Tapas/Small Plates
460,Transmission Repair
461,Tea Rooms
462,Psychologists
463,Herbs & Spices
464,Pretzels
465,Boating
466,Beaches
467,Tennis
468,Golf
469,Personal Injury Law
470,Floral Designers
471,Framing
472,Hobby Shops
473,Gluten-Free
474,Cambodian
475,Parks
476,Lebanese
477,Lighting Fixtures & Equipment
478,Generator Installation/Repair
479,Electricians
480,Cooking Classes
481,Personal Chefs
482,Roadside Assistance
483,Wheel & Rim Repair
484,Shades & Blinds
485,Mattresses
486,Religious Organizations
487,Churches
488,Taxis
489,Comic Books
490,Hot Dogs
491,Screen Printing
492,Cosmetology Schools
493,Adult Education
494,Vocational & Technical School
495,Patisserie/Cake Shop
496,Mailbox Centers
497,Dim Sum
498,Carpet Installation
499,Dominican
500,Farmers Market
501,Departments of Motor Vehicles
502,Department Stores
503,Indonesian
504,Middle Schools & High Schools
505,Train Stations
506,Appliances & Repair
507,Custom Cakes
508,Candy Stores
509,Brazilian Jiu-jitsu
510,Car Stereo Installation
511,Airlines
512,Organic Stores
513,Airport Lounges
514,Head Shops
515,Tobacco Shops
516,Vape Shops
517,Packing Supplies
518,Discount Store
519,Henna Artists
520,Threading Services
521,Officiants
522,Piano Bars
523,Senegalese
524,African
525,Home Automation
526,Leather Goods
527,Dry Cleaning
528,Shaved Ice
529,University Housing
530,Motorcycle Repair
531,Motorcycle Dealers
532,Video/Film Production
533,Videographers
534,Event Photography
535,Photographers
536,Kosher
537,General Litigation
538,Divorce & Family Law
539,Criminal Defense Law
540,Estate Planning Law
541,Insulation Installation
542,Garage Door Services
543,Medical Supplies
544,Dance Studios
545,Hiking
546,Reflexology
547,Photography Classes
548,Special Education
549,Butcher
550,Fish & Chips
551,Trailer Rental
552,Propane
553,Afghan
554,Mortgage Lenders
555,DUI Law
556,Masonry/Concrete
557,Waterproofing
558,Mobile Home Repair
559,Salvadoran
560,Flowers
561,Packing Services
562,Dog Parks
563,Motorcycle Gear
564,Kombucha
565,Bowling
566,Boxing
567,Kickboxing
568,Casinos
569,Shutters
570,Shared Office Spaces
571,Snow Removal
572,Fertility
573,Cycling Classes
574,Ophthalmologists
575,Prosthodontists
576,Stadiums & Arenas
577,Diagnostic Imaging
578,Walk-in Clinics
579,Colombian
580,Used Bookstore
581,Cabinetry
582,Beverage Store
583,Dance Schools
584,Smokehouse
585,Outlet Stores
586,Flea Markets
587,Plus Size Fashion
588,Bespoke Clothing
589,Colonics
590,Reproductive Health Services
591,Paddleboarding
592,Software Development
593,Advertising
594,Utilities
595,Float Spa
596,Trivia Hosts
597,Donation Center
598,Stucco Services
599,Workers Compensation Law
600,Cideries
601,Shoe Shine
602,Dermatologists
603,Session Photography
604,Furniture Reupholstery
605,Bankruptcy Law
606,Art Museums
607,Modern European
608,Pop-Up Restaurants
609,Business Consulting
610,Party Equipment Rentals
611,Baseball Fields
612,Funeral Services & Cemeteries
613,Acai Bowls
614,Proctologists
615,Podiatrists
616,Gunsmith
617,Tax Services
618,Bookkeepers
619,Financial Advising
620,Accountants
621,Poke
622,Hawaiian
623,Colleges & Universities
624,Pole Dancing Classes
625,Aerial Fitness
626,Auction Houses
627,Plastic Surgeons
628,Valet Services
629,Public Markets
630,Environmental Testing
631,Environmental Abatement
632,Auto Glass Services
633,Wildlife Control
634,Iberian
635,Zoos
636,Races & Competitions
637,German
638,Psychics
639,Psychic Mediums
640,Public Art
641,Buddhist Temples
642,Meditation Centers
643,Cannabis Dispensaries
644,Cannabis Clinics
645,Private Schools
646,Wine Tasting Room
647,Hostels
648,Dietitians
649,Knitting Supplies
650,Allergists
651,Refinishing Services
652,Pool Halls
653,Bar Crawl
654,Home & Rental Insurance
655,Life Insurance
656,Peruvian
657,Art Space Rentals
658,Recording & Rehearsal Studios
659,Editorial Services
660,Career Counseling
661,Dinner Theater
662,Historical Tours
663,Retirement Homes
664,Boat Tours
665,Boat Charters
666,Brazilian
667,Mongolian
668,Hot Pot
669,Barre Classes
670,Cosmetic Surgeons
671,Ear Nose & Throat
672,Body Contouring
673,Photo Booth Rentals
674,Translation Services
675,Driving Schools
676,Test Preparation
677,Paint & Sip
678,Izakaya
679,Home Health Care
680,Food Banks
681,Amusement Parks
682,Baby Gear & Furniture
683,Vehicle Shipping
684,Blood & Plasma Donation Centers
685,Pasta Shops
686,Lingerie
687,Hunting & Fishing Supplies
688,Newspapers & Magazines
689,Olive Oil
690,Obstetricians & Gynecologists
691,Sunglasses
692,Occupational Therapy
693,Car Window Tinting
694,Home Window Tinting
695,Tiling
696,Septic Services
697,CSA
698,Ticket Sales
699,Hypnosis/Hypnotherapy
700,Japanese Curry
701,Tiki Bars
702,Dental Hygienists
703,Foundation Repair
704,Vehicle Wraps
705,Live/Raw Food
706,Climbing
707,Rock Climbing
708,Real Estate Law
709,British
710,Employment Law
711,Social Security Law
712,Bartenders
713,Auto Customization
714,Libraries
715,Mobility Equipment Sales & Services
716,Russian
717,Paint Stores
718,Haunted Houses
719,Data Recovery
720,Courthouses
721,Muay Thai
722,Animal Shelters
723,Windshield Installation & Repair
724,Fences & Gates
725,Armenian
726,Uzbek
727,Embroidery & Crochet
728,Uniforms
729,Rafting/Kayaking
730,Christmas Trees
731,Neurologist
732,Maternity Wear
733,Bed & Breakfast
734,Smog Check Stations
735,Car Inspectors
736,Metal Fabricators
737,Countertop Installation
738,Kitchen Supplies
739,Health Retreats
740,Sugaring
741,Permanent Makeup
742,Home Staging
743,Diamond Buyers
744,Elementary Schools
745,Tabletop Games
746,Themed Cafes
747,Horse Boarding
748,Turkish
749,Grout Services
750,Talent Agencies
751,Mini Golf
752,Hair Loss Centers
753,Condominiums
754,Cafeteria
755,Tasting Classes
756,Wine Tasting Classes
757,Pop-up Shops
758,Concierge Medicine
759,Fire Protection Services
760,Lakes
761,Leisure Centers
762,Payroll Services
763,Himalayan/Nepalese
764,Basque
765,Medical Law
766,Brasseries
767,Chimney Sweeps
768,Educational Services
769,Mountain Biking
770,Israeli
771,Playgrounds
772,CPR Classes
773,Battery Stores
774,Medical Cannabis Referrals
775,Tui Na
776,Nanny Services
777,Argentine
778,Passport & Visa Services
779,Embassy
780,Clowns
781,Magicians
782,Face Painting
783,Synagogues
784,Oncologist
785,Cardiologists
786,Osteopathic Physicians
787,Sicilian
788,Indoor Landscaping
789,Waffles
790,Speech Therapists
791,Pet Boarding
792,Vermouth Bars
793,Luggage
794,Recycling Center
795,Crisis Pregnancy Centers
796,Cultural Center
797,Bookbinding
798,Excavation Services
799,Grilling Equipment
800,Fitness/Exercise Equipment
801,Grill Services
802,Beer Hall
803,Macarons
804,Swimming Lessons/Schools
805,Pain Management
806,Rolfing
807,Portuguese
808,Tattoo Removal
809,LAN Centers
810,Pet Insurance
811,Tanning Beds
812,Elevator Services
813,Emergency Rooms
814,Laser Eye Surgery/Lasik
815,Georgian
816,Wholesalers
817,Restaurant Supplies
818,Car Buyers
819,Auto Loan Providers
820,Ethnic Grocery
821,Ukrainian
822,Animal Physical Therapy
823,Doulas
824,Midwives
825,Business Law
826,Halotherapy
827,Herbal Shops
828,Guest Houses
829,Botanical Gardens
830,Golf Lessons
831,Dumpster Rental
832,Sex Therapists
833,Hepatologists
834,Belgian
835,Qi Gong
836,Musicians
837,Musical Instrument Services
838,Guitar Stores
839,Arabic
840,Fuzhou
841,Car Share Services
842,Fireplace Services
843,Speakeasies
844,Acne Treatment
845,Popcorn Shops
846,Nurse Practitioner
847,Psychiatrists
848,Music Production Services
849,Honey
850,Unofficial Yelp Events
851,Pet Cremation Services
852,Cremation Services
853,Delicatessen
854,Axe Throwing
855,Junkyards
856,Orthotics
857,Golf Equipment
858,Disc Golf
859,Aestheticians
860,Estheticians
861,Singaporean
862,Fingerprinting
863,Trampoline Parks
864,Skilled Nursing
865,Yelp Events
866,Circuit Training Gyms
867,Party Bus Rentals
868,South African
869,Audio/Visual Equipment Rental
870,Fondue
871,Boudoir Photography
872,Teppanyaki
873,Commercial Truck Repair
874,Local Fish Stores
875,Aquariums
876,Reptile Shops
877,Parenting Classes
878,Tutoring Centers
879,Honduran
880,Mobile Dent Repair
881,Scandinavian
882,Holiday Decorations
883,Behavior Analysts
884,Addiction Medicine
885,Pool Cleaners
886,Balloon Services
887,Pathologists
888,Pet Transportation
889,Outdoor Furniture Stores
890,Dance Wear
891,Paint-Your-Own Pottery
892,Bartending Schools
893,Urologists
894,Venezuelan
895,Hydro-jetting
896,Language Schools
897,House Sitters
898,Private Tutors
899,Furniture Rental
900,Taxidermy
901,Kids Hair Salons
902,Supper Clubs
903,Disability Law
904,Health Coach
905,Batting Cages
906,Solar Panel Cleaning
907,Hats
908,Piano Stores
909,Radio Stations
910,Town Car Service
911,Children's Museums
912,Petting Zoos
913,Cryotherapy
914,Saunas
915,Farm Equipment Repair
916,Pet Hospice
917,Auto Security
918,Hungarian
919,Auto Upholstery
920,Virtual Reality Centers
921,Egyptian
922,Haitian
923,Empanadas
924,Observatories
925,Powder Coating
926,Prenatal/Perinatal Care
927,Holistic Animal Care
928,Gymnastics
929,Currency Exchange
930,Visitor Centers
931,Gemstones & Minerals
932,Poutineries
933,Roof Inspectors
934,Apartment Agents
935,Party Characters
936,Health Insurance Offices
937,Knife Sharpening
938,RV Parks
939,High Fidelity Audio Equipment
940,Immigration Law
941,Wedding Chapels
942,Fur Clothing
943,Lice Services
944,Public Adjusters
945,Tai Chi
946,College Counseling
947,Surgeons
948,Medical Transportation
949,Rest Stops
950,Vacation Rentals
951,Massage Schools
952,Infectious Disease Specialists
953,Bangladeshi
954,Firearm Training
955,Wills
956,Trusts
957,& Probates
958,Audiologist
959,Ziplining
960,Appraisal Services
961,Real Estate Photography
962,Vacation Rental Agents
963,Self-defense Classes
964,Taekwondo
965,Mosques
966,Personal Care Services
967,Hong Kong Style Cafe
968,Piano Services
969,Tenant and Eviction Law
970,Alternative Medicine
971,Bistros
972,Aerial Tours
973,Flight Instruction
974,Persian/Iranian
975,Product Design
976,Architects
977,Tax Law
978,Club Crawl
979,Skate Shops
980,Scuba Diving
981,Diving
982,Shredding Services
983,Cigar Bars
984,Commercial Truck Dealers
985,Lactation Services
986,Clock Repair
987,Glass Blowing
988,Bike tours
989,Clothing Rental
990,Paintball
991,Beer Tours
992,Firewood
993,Fencing Clubs
994,Spin Classes
995,Karate
996,Art Consultants
997,Commissioned Artists
998,Police Departments
999,Car Auctions
1000,Crane Services
1001,Australian
1002,Ferries
1003,Debt Relief Services
1004,Safety Equipment
1005,Conveyor Belt Sushi
1006,Pool & Billiards
1007,Hotel bar
1008,Sports Betting
1009,Irrigation
1010,3D Printing
1011,Makerspaces
1012,Boat Dealers
1013,Boat Repair
1014,Boat Parts & Supplies
1015,Assisted Living Facilities
1016,Champagne Bars
1017,Safe Stores
1018,Montessori Schools
1019,Ceremonial Clothing
1020,Hybrid Car Repair
1021,Austrian
1022,Hospice
